iter	F1	Logloss
122	0.8140900196	0.3390349857
123	0.8140900196	0.3386623937
124	0.8140900196	0.3380613682
125	0.8140900196	0.3379862816
126	0.8140900196	0.3374549325
127	0.81640625	0.3370865878
128	0.81640625	0.3367218382
129	0.8180039139	0.3358154819
130	0.8203125	0.3354371408
131	0.8187134503	0.3347487408
132	0.8178294574	0.3338436063
133	0.8178294574	0.3332158414
134	0.8217054264	0.3328242278
135	0.8249027237	0.3324700839
136	0.8249027237	0.3316396111
137	0.8249027237	0.3316236501
138	0.8226120858	0.3309107924
139	0.8226120858	0.3305469232
140	0.8249027237	0.3301197353
141	0.8265107212	0.3291840811
142	0.8265107212	0.3286149251
143	0.8265107212	0.3281451776
144	0.8287937743	0.3277825224
145	0.8287937743	0.3275874771
146	0.8287937743	0.327541547
147	0.8287937743	0.3272618728
148	0.8287937743	0.3267697183
149	0.8265107212	0.3265093333
150	0.8287937743	0.3263131837
151	0.8287937743	0.3261752935
152	0.8287937743	0.3259927601
153	0.8287937743	0.3252551302
154	0.8326848249	0.3247377267
155	0.8365758755	0.3243519314
156	0.8365758755	0.3243126359
157	0.8365758755	0.3235971853
158	0.8365758755	0.3233948358
159	0.8388349515	0.3230815092
160	0.8388349515	0.3229153013
161	0.8388349515	0.3226741511
162	0.8388349515	0.3222788333
163	0.8410852713	0.3218605002
164	0.8427184466	0.3216253201
165	0.8427184466	0.3215993274
166	0.8404669261	0.321477364
167	0.8404669261	0.3214736046
168	0.8410852713	0.3210726908
169	0.8410852713	0.3206230837
170	0.8410852713	0.3204194571
171	0.8410852713	0.319813565
172	0.8410852713	0.3192174378
173	0.8410852713	0.3191484574
174	0.8410852713	0.3190760997
175	0.8433268859	0.3186739581
176	0.8433268859	0.3185345993
177	0.8433268859	0.3183465147
178	0.8433268859	0.3179603995
179	0.8433268859	0.3176288969
180	0.8439306358	0.3174883344
181	0.8416988417	0.3170104006
182	0.8439306358	0.3166590951
183	0.8439306358	0.3165999623
184	0.8439306358	0.3165832421
185	0.8439306358	0.3162091744
186	0.8483685221	0.3159040193
187	0.8483685221	0.3156695991
188	0.8483685221	0.3155431308
189	0.8483685221	0.3152413475
190	0.8483685221	0.3150256878
191	0.85	0.3143786166
192	0.85	0.3139378268
193	0.85	0.3138340028
194	0.85	0.3136473468
195	0.85	0.3132500447
196	0.85	0.3132165707
197	0.85	0.3131454586
198	0.85	0.3127053861
199	0.85	0.3126300674
200	0.8477842004	0.3124059079
201	0.85	0.311583639
202	0.8483685221	0.3104660951
203	0.8483685221	0.3104652063
204	0.8483685221	0.3102676124
205	0.8483685221	0.310231001
206	0.85	0.3098385191
207	0.8516377649	0.3095010789
208	0.8538461538	0.3086473486
209	0.8532818533	0.3081557603
210	0.8532818533	0.3080170202
211	0.8532818533	0.3079967012
212	0.8532818533	0.3079966977
213	0.8532818533	0.3076445037
214	0.8532818533	0.3076175648
215	0.8532818533	0.3075582492
216	0.8532818533	0.3066487613
217	0.8554913295	0.3062270943
218	0.859344894	0.3059726748
219	0.859344894	0.3059539876
220	0.859344894	0.3059282365
221	0.859344894	0.3059032483
222	0.8576923077	0.3054489447
223	0.8576923077	0.305033246
224	0.8576923077	0.3048245382
225	0.8576923077	0.3047293052
226	0.8560460653	0.3041071605
227	0.8565965583	0.3037575088
228	0.8565965583	0.3036573637
229	0.8565965583	0.3029735032
230	0.8565965583	0.3028781082
231	0.8565965583	0.302595618
232	0.8565965583	0.3024660837
233	0.858778626	0.3020976248
234	0.858778626	0.3020640071
235	0.858778626	0.3019061588
236	0.8631178707	0.3010808309
237	0.860952381	0.3001749605
238	0.8631178707	0.2994967038
239	0.8652751423	0.2993956881
240	0.8652751423	0.2993820248
241	0.8631178707	0.2991689472
242	0.8652751423	0.2991022006
243	0.8674242424	0.2985606494
244	0.8674242424	0.2985008252
245	0.8674242424	0.2980474318
246	0.8674242424	0.2977850261
247	0.8674242424	0.2973852827
248	0.8674242424	0.2971053857
249	0.8674242424	0.2969653461
250	0.8674242424	0.2965599497
251	0.8674242424	0.2965290998
252	0.8674242424	0.2958516006
253	0.8674242424	0.2954263211
254	0.8674242424	0.295386705
255	0.8674242424	0.2949136187
256	0.8674242424	0.2947030832
257	0.8674242424	0.2944927843
258	0.8674242424	0.2943458455
259	0.8674242424	0.2939507682
260	0.8674242424	0.2935768268
261	0.8674242424	0.293327078
262	0.8674242424	0.2929001349
263	0.8674242424	0.292819774
264	0.8674242424	0.2928143955
265	0.8674242424	0.2928004157
266	0.8674242424	0.2924996821
267	0.8674242424	0.2919392417
268	0.8674242424	0.2914405784
269	0.8674242424	0.2909854962
270	0.8674242424	0.2909732381
271	0.8674242424	0.2908596992
272	0.8674242424	0.2901866468
273	0.8674242424	0.2900321552
274	0.8674242424	0.289858604
275	0.8674242424	0.2896771726
276	0.8674242424	0.2896322692
277	0.8674242424	0.2896322689
278	0.8674242424	0.2894430199
279	0.8674242424	0.2893382216
280	0.8674242424	0.2891139516
281	0.8674242424	0.2890410767
282	0.8674242424	0.2887981293
283	0.8674242424	0.288776181
284	0.8674242424	0.2881645085
285	0.8674242424	0.2881378926
286	0.8674242424	0.2880696284
287	0.8674242424	0.2879407753
288	0.8674242424	0.2874450133
289	0.8674242424	0.2873740866
290	0.8674242424	0.2869492375
291	0.8674242424	0.2868660398
292	0.8674242424	0.2867732581
293	0.8674242424	0.2864149921
294	0.8674242424	0.28588103
295	0.8674242424	0.2854527242
296	0.8674242424	0.285306061
297	0.8674242424	0.2852069224
298	0.8674242424	0.2850920446
299	0.8695652174	0.2843564213
300	0.8695652174	0.2840612532
301	0.8695652174	0.2839536138
302	0.8695652174	0.2838645158
303	0.8695652174	0.2837583835
304	0.8695652174	0.283470367
